resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,iwrdesc_pre_skintone,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m,soph_cat
5,4,4,5,1,0,0,0,1,2,1,2,2,6,3,35,2,2,1,4,4,2,1,1,-1,Incorrect,Correct,0,1,0,0.4,0.625,1,Disagree Strongly,Disagree,Agree,Agree Strongly,5,4,5,4,Med-Low (0.25-0.5)
4,2,2,2,1,1,1,1,1,2,4,2,1,2,4,60,2,4,4,4,5,4,0,0,-1,Correct,Correct,1,1,0,1,0.9583333333333334,0,Disagree,Agree,Disagree,Disagree,4,2,2,2,High (0.75-1)
4,3,4,4,1,0,0,1,1,2,4,2,1,1,3,90,5,4,4,4,5,5,1,0,-1,Correct,Correct,1,1,0,0.6,1.125,0.5,Disagree,Neither,Agree,Agree,4,4,4,3,Med-High (0.5-0.75)
3,4,4,2,1,0,0,0,1,1,3,1,1,3,5,99,5,5,5,5,2,5,0,0,-1,Incorrect,Correct,1,0,1,0.4,1.125,0,Neither,Disagree,Agree,Disagree,3,4,2,4,Med-Low (0.25-0.5)
4,3,4,5,1,1,0,1,1,2,3,2,1,2,2,45,3,4,3,3,2,4,0,1,-1,Correct,Correct,1,1,1,0.8,0.7916666666666666,0.5,Disagree,Neither,Agree,Agree Strongly,4,4,5,3,High (0.75-1)
3,2,2,2,1,1,1,1,1,1,3,1,3,4,4,85,4,4,4,4,5,4,0,0,-1,Correct,Correct,0,0,1,1,1.0416666666666667,0,Neither,Agree,Disagree,Disagree,3,2,2,2,High (0.75-1)
4,2,3,4,1,0,0,1,1,1,4,1,2,6,5,65,2,2,1,1,1,1,1,1,-1,Correct,Correct,0,0,0,0.6,0.3333333333333333,1,Disagree,Agree,Neither,Agree,4,3,4,2,Med-High (0.5-0.75)
5,5,5,5,1,1,1,0,1,2,4,2,1,4,3,30,4,2,4,2,4,4,0,0,-1,Incorrect,Correct,1,1,0,0.8,0.8333333333333334,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,High (0.75-1)
2,1,2,3,1,1,1,0,1,2,4,1,1,2,3,70,4,5,4,5,4,5,0,0,-1,Incorrect,Correct,1,1,0,0.8,1.125,0,Agree,Agree Strongly,Disagree,Neither,2,2,3,1,High (0.75-1)
5,5,5,5,1,0,0,0,0,1,3,1,3,4,3,61,5,2,4,2,4,2,1,1,-1,Incorrect,Incorrect,0,0,1,0.2,0.7916666666666666,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,5,5,5,5,Low (0-0.25)
