resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
5,5,2,5,1,0,0,0,1,1,2,2,2,6,4,1,54,21,50,1,3,1,4,4,1,1,0,5,Incorrect,Correct,0,0,0,0.4,0.4666666666666667,0.5,Disagree Strongly,Disagree Strongly,Disagree,Agree Strongly,2012,5,2,5,5
3,2,2,2,1,1,1,0,1,1,1,2,1,2,4,1,55,14,70,5,5,5,4,4,3,0,0,4,Incorrect,Correct,1,0,0,0.8,0.8666666666666667,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
4,4,4,5,1,0,0,1,0,2,3,2,3,4,3,1,52,1,70,4,2,2,2,3,3,1,0,4,Correct,Incorrect,0,1,1,0.4,0.5333333333333333,0.5,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
5,5,5,5,1,0,0,0,1,2,2,2,3,4,3,1,61,9,50,4,3,3,2,3,3,0,0,3,Incorrect,Correct,0,1,0,0.4,0.6,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,5,5,5,1,1,1,1,1,1,2,2,3,4,2,1,67,12,50,4,2,3,2,3,2,0,0,5,Correct,Correct,0,0,0,1,0.5333333333333333,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,2,4,4,1,0,0,1,1,2,4,2,1,3,5,1,37,18,65,4,3,4,4,4,4,0,0,2,Correct,Correct,1,1,0,0.6,0.7666666666666667,0,Disagree,Agree,Agree,Agree,2012,4,4,4,2
4,4,4,5,1,0,0,0,1,2,3,2,3,4,3,1,52,1,60,5,3,5,4,3,3,1,0,5,Incorrect,Correct,0,1,1,0.4,0.7666666666666667,0.5,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
4,4,4,4,1,0,1,1,1,1,2,2,1,4,3,1,60,7,65,5,3,2,4,4,4,0,0,2,Correct,Correct,1,0,0,0.8,0.7333333333333333,0,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
3,2,2,4,1,1,1,1,1,1,1,1,1,2,5,1,60,25,70,4,5,2,4,5,1,0,0,5,Correct,Correct,1,0,0,1,0.7,0,Neither,Agree,Disagree,Agree,2012,3,2,4,2
4,2,5,5,1,0,0,0,0,1,4,2,1,5,3,1,54,1,95,5,2,4,2,2,4,0,0,4,Incorrect,Incorrect,1,0,0,0.2,0.6333333333333333,0,Disagree,Agree,Agree Strongly,Agree Strongly,2012,4,5,5,2
2,2,2,2,1,0,0,1,1,2,1,1,1,2,4,1,45,24,70,5,5,4,5,4,3,1,1,2,Correct,Correct,1,1,0,0.6,0.8666666666666667,1,Agree,Agree,Disagree,Disagree,2012,2,2,2,2
4,4,4,4,1,1,1,1,1,2,3,1,2,5,5,1,48,27,70,3,4,2,2,2,2,1,1,3,Correct,Correct,0,1,1,1,0.5,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
5,5,4,5,1,1,1,1,1,1,1,2,2,6,4,1,51,20,10,3,1,2,2,2,2,1,1,3,Correct,Correct,0,0,0,1,0.4,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
4,3,2,3,1,1,0,1,1,1,4,2,1,4,3,1,64,4,70,5,5,5,5,5,5,0,0,1,Correct,Correct,1,0,0,0.8,1,0,Disagree,Neither,Disagree,Neither,2012,4,2,3,3
4,4,4,4,1,0,0,0,1,1,4,1,2,4,3,1,69,1,75,4,2,2,2,4,3,1,1,5,Incorrect,Correct,0,0,0,0.4,0.5666666666666667,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
5,5,5,5,1,0,1,1,1,1,2,2,3,5,4,1,47,17,15,2,1,1,2,5,1,1,1,4,Correct,Correct,0,0,0,0.8,0.4,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,4,2,4,1,0,0,1,1,2,3,1,1,3,5,1,53,25,85,3,5,3,3,4,4,0,0,2,Correct,Correct,1,1,1,0.6,0.7333333333333333,0,Neither,Disagree,Disagree,Agree,2012,3,2,4,4
4,4,3,5,1,0,0,1,0,2,3,2,1,6,3,1,65,9,60,5,3,5,3,3,4,1,1,5,Correct,Incorrect,1,1,1,0.4,0.7666666666666667,1,Disagree,Disagree,Neither,Agree Strongly,2012,4,3,5,4
2,2,2,2,1,1,1,1,1,1,1,2,3,4,2,1,71,11,50,5,5,5,5,5,5,1,0,5,Correct,Correct,0,0,0,1,1,0.5,Agree,Agree,Disagree,Disagree,2012,2,2,2,2
