resent_deserve,resent_slavery,resent_try,resent_workway,ofcrec_vp_correct,ofcrec_speaker_correct,ofcrec_cj_correct,knowl_senmaj,knowl_housemaj,gender_respondent_x,sample_region,relig_church,pid_self,paprofile_libcon_self,dem_edugroup_x,dem_raceeth_x,dem_age_r_x,inc_incgroup_pre,ftcasi_black,egal_equal,egal_toofar,egal_bigprob,egal_worryless,egal_notbigprob,egal_fewerprobs,govrole_big,govrole_market,paprofile_freqpolit_socmedia,knowl_senmaj_f,knowl_housemaj_f,pid_dum_dem,female,south,soph,egal_scale,econ_indiv,resent_deserve_f,resent_slavery_f,resent_try_f,resent_workway_f,year,resent_deserve_m,resent_try_m,resent_workway_m,resent_slavery_m
5,5,4,5,1,1,0,1,1,2,3,2,3,5,3,1,60,13,70,1,2,1,1,1,1,1,1,1,Correct,Correct,0,1,1,0.8,0.23333333333333334,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
3,3,3,3,0,0,0,0,0,1,4,1,1,6,3,1,66,3,30,3,3,3,3,3,4,0,0,4,Incorrect,Incorrect,1,0,0,0,0.6333333333333333,0,Neither,Neither,Neither,Neither,2012,3,3,3,3
5,5,5,5,1,0,0,1,1,1,3,1,3,5,3,1,24,1,60,2,2,2,2,4,1,1,1,4,Correct,Correct,0,0,1,0.6,0.43333333333333335,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,5,4,4,0,0,0,1,1,2,3,2,3,4,3,1,31,11,15,3,2,2,3,2,3,1,1,4,Correct,Correct,0,1,1,0.4,0.5,1,Disagree Strongly,Disagree Strongly,Agree,Agree,2012,5,4,4,5
3,2,4,4,1,1,1,1,0,1,2,1,2,5,4,1,60,13,70,4,4,4,4,4,4,1,1,4,Correct,Incorrect,0,0,0,0.8,0.8,1,Neither,Agree,Agree,Agree,2012,3,4,4,2
5,5,5,5,1,1,0,0,0,1,3,1,2,7,3,1,26,10,75,5,1,2,4,4,4,1,1,2,Incorrect,Incorrect,0,0,1,0.4,0.6666666666666666,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,2,2,2,1,1,1,1,1,2,4,2,2,6,4,1,60,21,60,4,4,2,4,3,2,1,1,2,Correct,Correct,0,1,0,1,0.6333333333333333,1,Disagree,Agree,Disagree,Disagree,2012,4,2,2,2
2,2,2,3,1,1,1,0,1,2,2,2,3,3,3,1,55,16,70,5,4,4,3,2,2,1,0,5,Incorrect,Correct,0,1,0,0.8,0.6666666666666666,0.5,Agree,Agree,Disagree,Neither,2012,2,2,3,2
4,4,3,4,1,0,0,1,1,1,2,2,3,4,2,1,24,6,70,4,3,2,3,2,2,1,0,3,Correct,Correct,0,0,0,0.6,0.5333333333333333,0.5,Disagree,Disagree,Neither,Agree,2012,4,3,4,4
5,5,4,5,1,1,1,1,1,2,2,1,1,4,2,1,62,25,50,5,2,4,2,2,4,1,0,3,Correct,Correct,1,1,0,1,0.6333333333333333,0.5,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
4,4,4,4,1,0,0,1,1,1,2,2,1,2,2,1,60,11,60,4,2,4,2,4,4,1,1,5,Correct,Correct,1,0,0,0.6,0.6666666666666666,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
4,5,4,3,1,1,0,1,1,2,2,1,3,5,2,1,50,15,60,4,3,3,4,4,5,1,1,5,Correct,Correct,0,1,0,0.8,0.7666666666666667,1,Disagree,Disagree Strongly,Agree,Neither,2012,4,4,3,5
5,5,5,5,0,0,0,1,1,1,3,2,3,4,3,1,42,14,40,4,3,1,3,3,3,1,1,5,Correct,Correct,0,0,1,0.4,0.5666666666666667,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,5,5,5,1,1,1,1,1,1,1,1,2,6,2,1,69,11,85,1,1,1,1,2,1,1,1,4,Correct,Correct,0,0,0,1,0.23333333333333334,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,3,2,3,1,0,0,1,0,2,2,1,1,2,4,1,22,3,70,5,3,4,4,5,4,0,0,3,Correct,Incorrect,1,1,0,0.4,0.8333333333333334,0,Neither,Neither,Disagree,Neither,2012,3,2,3,3
4,4,4,4,1,0,0,1,1,1,1,2,1,5,4,1,56,16,70,5,3,3,3,5,4,1,0,5,Correct,Correct,1,0,0,0.6,0.7666666666666667,0.5,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
4,4,3,3,1,1,1,1,1,2,2,1,3,6,4,1,58,22,50,4,2,3,2,3,3,1,0,5,Correct,Correct,0,1,0,1,0.5666666666666667,0.5,Disagree,Disagree,Neither,Neither,2012,4,3,3,4
4,5,4,5,1,1,1,1,1,1,1,1,3,4,3,1,38,12,60,5,2,4,1,1,4,0,0,1,Correct,Correct,0,0,0,1,0.5666666666666667,0,Disagree,Disagree Strongly,Agree,Agree Strongly,2012,4,4,5,5
2,2,2,1,1,1,1,1,1,1,4,2,1,2,4,1,77,23,85,5,5,5,5,5,5,0,0,5,Correct,Correct,1,0,0,1,1,0,Agree,Agree,Disagree,Disagree Strongly,2012,2,2,1,2
4,2,3,4,1,0,1,0,1,1,2,1,1,3,2,1,61,3,90,4,4,2,2,4,4,0,1,4,Incorrect,Correct,1,0,0,0.6,0.6666666666666666,0.5,Disagree,Agree,Neither,Agree,2012,4,3,4,2
3,3,3,3,1,1,1,1,1,2,3,1,2,4,2,1,64,18,50,4,4,3,3,5,4,1,1,5,Correct,Correct,0,1,1,1,0.7666666666666667,1,Neither,Neither,Neither,Neither,2012,3,3,3,3
5,4,5,5,1,0,0,0,1,2,4,2,1,4,4,1,31,11,60,5,3,4,5,2,4,1,0,2,Incorrect,Correct,1,1,0,0.4,0.7666666666666667,0.5,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,2012,5,5,5,4
3,1,1,2,1,1,1,1,1,2,1,1,1,2,4,1,31,15,50,3,5,3,4,4,4,0,0,4,Correct,Correct,1,1,0,1,0.7666666666666667,0,Neither,Agree Strongly,Disagree Strongly,Disagree,2012,3,1,2,1
4,2,2,2,1,0,0,1,1,1,2,2,3,4,4,1,44,21,85,4,3,2,3,2,4,1,0,5,Correct,Correct,0,0,0,0.6,0.6,0.5,Disagree,Agree,Disagree,Disagree,2012,4,2,2,2
4,2,4,4,1,1,1,0,1,1,3,2,1,4,3,1,45,14,80,4,3,4,3,4,4,0,0,1,Incorrect,Correct,1,0,1,0.8,0.7333333333333333,0,Disagree,Agree,Agree,Agree,2012,4,4,4,2
3,3,3,3,1,0,1,1,1,1,2,2,1,3,3,1,68,13,50,5,3,3,4,3,4,0,0,5,Correct,Correct,1,0,0,0.8,0.7333333333333333,0,Neither,Neither,Neither,Neither,2012,3,3,3,3
3,3,3,3,1,1,0,0,1,1,1,2,3,4,1,1,34,4,60,4,3,3,3,3,4,0,0,3,Incorrect,Correct,0,0,0,0.6,0.6666666666666666,0,Neither,Neither,Neither,Neither,2012,3,3,3,3
4,4,4,4,1,0,0,1,0,2,3,1,1,6,3,1,69,1,60,4,2,4,2,4,4,1,0,4,Correct,Incorrect,1,1,1,0.4,0.6666666666666666,0.5,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
5,4,3,5,1,0,0,1,1,2,3,1,2,6,3,1,27,25,95,1,1,1,1,2,1,1,1,3,Correct,Correct,0,1,1,0.6,0.23333333333333334,1,Disagree Strongly,Disagree,Neither,Agree Strongly,2012,5,3,5,4
5,5,5,5,0,0,0,1,0,1,3,1,2,6,3,1,55,1,70,3,2,1,1,2,3,1,1,5,Correct,Incorrect,0,0,1,0.2,0.4,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,1,2,4,1,0,0,1,1,2,4,2,1,4,5,1,58,22,85,5,5,3,4,4,2,1,0,5,Correct,Correct,1,1,0,0.6,0.7666666666666667,0.5,Neither,Agree Strongly,Disagree,Agree,2012,3,2,4,1
5,5,5,5,1,0,0,1,1,1,2,2,1,4,3,1,33,25,40,1,1,1,1,2,2,1,0,4,Correct,Correct,1,0,0,0.6,0.26666666666666666,0.5,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
3,2,4,4,1,0,1,1,1,1,3,2,3,4,3,1,28,1,95,4,4,4,4,3,4,0,0,1,Correct,Correct,0,0,1,0.8,0.7666666666666667,0,Neither,Agree,Agree,Agree,2012,3,4,4,2
5,5,5,5,1,0,0,0,1,2,3,1,2,5,3,1,56,10,15,5,2,4,2,4,4,0,0,5,Incorrect,Correct,0,1,1,0.4,0.7,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,5,5,5,1,1,0,1,0,1,3,2,1,1,2,1,47,13,70,5,3,4,4,1,4,1,1,3,Correct,Incorrect,1,0,1,0.6,0.7,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,3,4,4,1,0,0,1,1,2,4,2,2,6,3,1,19,1,85,4,4,4,4,4,4,0,0,3,Correct,Correct,0,1,0,0.6,0.8,0,Disagree,Neither,Agree,Agree,2012,4,4,4,3
2,1,1,2,1,1,1,1,1,2,1,2,1,2,2,1,36,14,85,5,5,5,5,5,5,0,0,5,Correct,Correct,1,1,0,1,1,0,Agree,Agree Strongly,Disagree Strongly,Disagree,2012,2,1,2,1
3,3,5,3,0,0,0,1,0,2,2,1,1,5,2,1,69,17,50,3,4,3,3,3,4,0,0,4,Correct,Incorrect,1,1,0,0.2,0.6666666666666666,0,Neither,Neither,Agree Strongly,Neither,2012,3,5,3,3
1,1,1,1,1,1,0,0,1,1,3,1,3,4,3,1,40,12,60,5,4,5,3,4,4,0,0,1,Incorrect,Correct,0,0,1,0.6,0.8333333333333334,0,Agree Strongly,Agree Strongly,Disagree Strongly,Disagree Strongly,2012,1,1,1,1
2,1,1,1,1,1,0,1,1,2,4,2,1,3,3,1,70,16,85,5,5,5,5,5,5,0,0,3,Correct,Correct,1,1,0,0.8,1,0,Agree,Agree Strongly,Disagree Strongly,Disagree Strongly,2012,2,1,1,1
3,4,4,4,1,1,1,1,1,1,2,2,3,4,3,1,61,12,70,4,3,2,3,3,3,1,1,2,Correct,Correct,0,0,0,1,0.6,1,Neither,Disagree,Agree,Agree,2012,3,4,4,4
2,2,2,4,1,1,1,1,1,2,4,2,1,3,4,1,60,23,70,5,4,3,4,5,4,1,0,5,Correct,Correct,1,1,0,1,0.8333333333333334,0.5,Agree,Agree,Disagree,Agree,2012,2,2,4,2
4,4,4,4,0,1,0,1,1,1,2,2,2,6,3,1,75,13,40,3,2,3,2,2,2,1,1,4,Correct,Correct,0,0,0,0.6,0.4666666666666667,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
4,1,1,2,1,1,1,1,1,2,1,1,3,5,3,1,20,28,55,3,5,3,4,5,4,1,1,2,Correct,Correct,0,1,0,1,0.8,1,Disagree,Agree Strongly,Disagree Strongly,Disagree,2012,4,1,2,1
3,4,3,3,0,0,0,0,0,1,1,1,3,4,1,1,50,1,50,3,3,3,3,3,3,1,1,4,Incorrect,Incorrect,0,0,0,0,0.6,1,Neither,Disagree,Neither,Neither,2012,3,3,3,4
5,4,3,3,1,0,0,1,0,1,1,2,2,4,3,1,25,1,45,5,3,3,3,4,4,1,1,5,Correct,Incorrect,0,0,0,0.4,0.7333333333333333,1,Disagree Strongly,Disagree,Neither,Neither,2012,5,3,3,4
3,5,5,5,1,1,1,1,1,1,3,1,2,6,4,1,27,24,70,3,1,2,1,3,3,1,1,4,Correct,Correct,0,0,1,1,0.43333333333333335,1,Neither,Disagree Strongly,Agree Strongly,Agree Strongly,2012,3,5,5,5
4,1,4,3,1,1,0,1,1,1,1,2,1,4,2,1,25,6,60,5,4,5,4,2,5,1,1,5,Correct,Correct,1,0,0,0.8,0.8333333333333334,1,Disagree,Agree Strongly,Agree,Neither,2012,4,4,3,1
3,3,5,5,1,1,1,1,1,2,4,2,2,6,4,1,42,22,50,4,1,1,1,4,4,1,1,5,Correct,Correct,0,1,0,1,0.5,1,Neither,Neither,Agree Strongly,Agree Strongly,2012,3,5,5,3
4,3,4,4,1,0,0,0,0,1,4,2,3,1,3,1,32,1,50,4,2,2,2,3,2,1,1,5,Incorrect,Incorrect,0,0,0,0.2,0.5,1,Disagree,Neither,Agree,Agree,2012,4,4,4,3
4,5,3,5,1,0,0,1,1,1,2,2,2,4,2,1,28,21,70,4,4,3,4,4,4,1,0,4,Correct,Correct,0,0,0,0.6,0.7666666666666667,0.5,Disagree,Disagree Strongly,Neither,Agree Strongly,2012,4,3,5,5
3,3,3,3,1,1,0,0,1,1,2,2,3,2,1,1,41,9,100,3,3,3,3,3,3,0,0,4,Incorrect,Correct,0,0,0,0.6,0.6,0,Neither,Neither,Neither,Neither,2012,3,3,3,3
5,5,4,5,1,1,1,1,1,1,1,1,2,7,4,1,40,25,80,1,1,1,1,2,1,1,1,4,Correct,Correct,0,0,0,1,0.23333333333333334,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
5,5,4,5,1,1,1,1,1,1,1,2,2,5,5,1,43,26,40,4,1,2,1,2,2,1,1,2,Correct,Correct,0,0,0,1,0.4,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
3,3,3,3,1,0,0,1,0,1,2,1,1,6,3,1,38,25,50,3,3,3,3,4,3,1,0,2,Correct,Incorrect,1,0,0,0.4,0.6333333333333333,0.5,Neither,Neither,Neither,Neither,2012,3,3,3,3
2,2,2,1,1,1,1,1,1,2,3,1,1,2,3,1,51,20,100,5,5,4,5,5,5,0,0,1,Correct,Correct,1,1,1,1,0.9666666666666667,0,Agree,Agree,Disagree,Disagree Strongly,2012,2,2,1,2
3,4,4,4,1,1,0,0,1,2,2,1,1,4,3,1,27,5,45,3,3,4,3,4,5,1,1,5,Incorrect,Correct,1,1,0,0.6,0.7333333333333333,1,Neither,Disagree,Agree,Agree,2012,3,4,4,4
5,5,5,5,1,1,0,1,1,2,2,1,3,6,2,1,60,23,10,4,2,2,2,4,2,0,0,4,Correct,Correct,0,1,0,0.8,0.5333333333333333,0,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,5,4,5,1,0,0,0,0,1,2,2,1,4,3,1,62,9,60,1,3,2,5,5,3,0,0,4,Incorrect,Incorrect,1,0,0,0.2,0.6333333333333333,0,Disagree,Disagree Strongly,Agree,Agree Strongly,2012,4,4,5,5
4,5,3,4,1,0,1,0,1,1,4,2,3,6,4,1,59,26,50,3,2,1,1,3,1,1,1,4,Incorrect,Correct,0,0,0,0.6,0.36666666666666664,1,Disagree,Disagree Strongly,Neither,Agree,2012,4,3,4,5
3,3,3,4,1,0,0,0,1,1,1,1,2,5,3,1,57,24,60,4,3,3,3,3,3,1,0,4,Incorrect,Correct,0,0,0,0.4,0.6333333333333333,0.5,Neither,Neither,Neither,Agree,2012,3,3,4,3
4,4,3,4,1,0,0,0,1,2,2,1,3,4,3,1,60,23,70,4,2,2,4,4,3,1,0,5,Incorrect,Correct,0,1,0,0.4,0.6333333333333333,0.5,Disagree,Disagree,Neither,Agree,2012,4,3,4,4
3,1,3,5,1,0,0,0,0,2,4,1,1,4,3,1,38,8,70,4,5,5,1,3,5,1,0,4,Incorrect,Incorrect,1,1,0,0.2,0.7666666666666667,0.5,Neither,Agree Strongly,Neither,Agree Strongly,2012,3,3,5,1
2,2,4,5,1,0,0,0,1,1,1,2,3,2,4,1,60,11,15,5,5,5,4,5,5,1,1,1,Incorrect,Correct,0,0,0,0.4,0.9666666666666667,1,Agree,Agree,Agree,Agree Strongly,2012,2,4,5,2
3,3,4,5,0,0,0,0,0,1,3,1,1,6,1,1,58,1,60,5,3,2,4,3,4,0,0,2,Incorrect,Incorrect,1,0,1,0,0.7,0,Neither,Neither,Agree,Agree Strongly,2012,3,4,5,3
5,4,5,4,1,0,0,1,1,1,2,2,2,5,2,1,59,7,50,3,3,2,2,2,1,1,1,5,Correct,Correct,0,0,0,0.6,0.43333333333333335,1,Disagree Strongly,Disagree,Agree Strongly,Agree,2012,5,5,4,4
4,2,4,2,1,1,1,1,0,2,4,2,1,2,5,1,44,18,90,4,4,4,4,4,4,0,0,3,Correct,Incorrect,1,1,0,0.8,0.8,0,Disagree,Agree,Agree,Disagree,2012,4,4,2,2
3,3,4,3,1,1,1,1,1,2,3,1,3,4,3,1,40,26,60,2,3,2,2,3,3,1,1,4,Correct,Correct,0,1,1,1,0.5,1,Neither,Neither,Agree,Neither,2012,3,4,3,3
2,2,4,5,1,0,0,1,0,2,3,1,1,7,2,1,60,17,85,5,3,4,4,5,4,0,0,4,Correct,Incorrect,1,1,1,0.4,0.8333333333333334,0,Agree,Agree,Agree,Agree Strongly,2012,2,4,5,2
3,4,2,4,1,0,0,0,1,1,4,1,2,5,3,1,24,1,50,1,1,1,1,4,2,1,1,1,Incorrect,Correct,0,0,0,0.4,0.3333333333333333,1,Neither,Disagree,Disagree,Agree,2012,3,2,4,4
3,2,3,4,1,1,1,0,0,1,3,1,3,4,2,1,63,9,70,5,5,4,4,4,3,0,0,5,Incorrect,Incorrect,0,0,1,0.6,0.8333333333333334,0,Neither,Agree,Neither,Agree,2012,3,3,4,2
4,4,4,4,1,0,1,1,1,1,3,2,3,5,4,1,59,21,70,2,2,2,2,2,2,1,1,5,Correct,Correct,0,0,1,0.8,0.4,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
3,3,3,4,1,0,1,0,1,2,2,1,2,4,2,1,76,7,70,5,3,4,2,3,4,0,0,3,Incorrect,Correct,0,1,0,0.6,0.7,0,Neither,Neither,Neither,Agree,2012,3,3,4,3
3,4,2,2,1,1,1,1,1,1,3,1,3,4,4,1,64,28,85,3,4,4,2,3,5,0,0,1,Correct,Correct,0,0,1,1,0.7,0,Neither,Disagree,Disagree,Disagree,2012,3,2,2,4
4,5,5,5,1,0,0,1,1,1,3,2,3,4,2,1,31,11,50,4,2,3,4,4,4,1,1,3,Correct,Correct,0,0,1,0.6,0.7,1,Disagree,Disagree Strongly,Agree Strongly,Agree Strongly,2012,4,5,5,5
3,5,5,5,1,1,1,1,1,1,4,1,2,7,5,1,28,9,100,3,3,1,3,1,3,1,1,1,Correct,Correct,0,0,0,1,0.4666666666666667,1,Neither,Disagree Strongly,Agree Strongly,Agree Strongly,2012,3,5,5,5
5,4,5,5,1,0,1,1,1,1,1,2,2,6,4,1,32,26,5,1,2,1,1,5,1,1,1,5,Correct,Correct,0,0,0,0.8,0.36666666666666664,1,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,2012,5,5,5,4
5,5,5,2,1,0,0,1,0,1,3,1,2,3,3,1,36,1,50,5,1,3,3,3,3,1,0,4,Correct,Incorrect,0,0,1,0.4,0.6,0.5,Disagree Strongly,Disagree Strongly,Agree Strongly,Disagree,2012,5,5,2,5
4,2,4,4,1,0,1,1,1,1,1,1,1,2,2,1,65,23,70,4,4,2,4,2,5,0,0,2,Correct,Correct,1,0,0,0.8,0.7,0,Disagree,Agree,Agree,Agree,2012,4,4,4,2
4,4,4,5,0,0,0,1,0,2,1,1,3,6,2,1,53,1,70,5,2,4,2,5,4,0,0,1,Correct,Incorrect,0,1,0,0.2,0.7333333333333333,0,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
4,4,3,4,1,0,0,0,1,2,3,2,2,5,3,1,52,1,75,3,3,4,4,2,2,1,1,3,Incorrect,Correct,0,1,1,0.4,0.6,1,Disagree,Disagree,Neither,Agree,2012,4,3,4,4
4,4,4,4,0,1,0,1,1,1,3,1,3,7,2,1,89,12,50,4,2,1,1,3,1,1,1,3,Correct,Correct,0,0,1,0.6,0.4,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
3,2,2,2,1,1,1,1,1,2,2,1,1,2,5,1,59,26,70,4,5,4,5,4,5,0,0,5,Correct,Correct,1,1,0,1,0.9,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
4,2,4,4,1,1,1,1,1,2,3,2,2,6,3,1,71,19,40,4,2,3,2,4,2,1,1,5,Correct,Correct,0,1,1,1,0.5666666666666667,1,Disagree,Agree,Agree,Agree,2012,4,4,4,2
2,4,4,4,1,1,0,0,1,1,3,1,1,4,1,1,29,23,65,4,2,4,3,2,2,1,1,4,Incorrect,Correct,1,0,1,0.6,0.5666666666666667,1,Agree,Disagree,Agree,Agree,2012,2,4,4,4
3,3,2,2,1,1,0,1,1,1,4,2,3,3,4,1,67,1,50,1,3,2,3,2,2,0,0,4,Correct,Correct,0,0,0,0.8,0.43333333333333335,0,Neither,Neither,Disagree,Disagree,2012,3,2,2,3
4,2,1,2,1,1,1,0,1,2,4,2,1,1,2,1,37,9,6,2,3,3,3,3,3,0,0,2,Incorrect,Correct,1,1,0,0.8,0.5666666666666667,0,Disagree,Agree,Disagree Strongly,Disagree,2012,4,1,2,2
5,5,5,5,1,1,0,1,1,1,4,2,3,6,4,1,67,11,30,1,1,1,1,1,1,1,1,5,Correct,Correct,0,0,0,0.8,0.2,1,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,4,4,5,1,1,1,1,1,1,3,1,3,3,2,1,53,25,50,4,2,2,2,3,4,0,0,5,Correct,Correct,0,0,1,1,0.5666666666666667,0,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
4,4,3,4,1,0,1,1,1,1,2,1,2,1,4,1,64,8,15,4,2,4,3,3,4,1,1,5,Correct,Correct,0,0,0,0.8,0.6666666666666666,1,Disagree,Disagree,Neither,Agree,2012,4,3,4,4
3,4,3,4,1,0,1,1,1,2,2,1,2,5,4,1,40,23,50,3,2,2,2,2,2,1,0,3,Correct,Correct,0,1,0,0.8,0.43333333333333335,0.5,Neither,Disagree,Neither,Agree,2012,3,3,4,4
3,4,3,4,1,0,1,1,1,1,2,2,3,4,5,1,62,21,60,3,2,3,2,4,3,0,0,5,Correct,Correct,0,0,0,0.8,0.5666666666666667,0,Neither,Disagree,Neither,Agree,2012,3,3,4,4
3,2,1,2,1,1,1,1,1,1,4,1,3,4,4,1,29,9,60,4,5,4,4,5,5,0,0,1,Correct,Correct,0,0,0,1,0.9,0,Neither,Agree,Disagree Strongly,Disagree,2012,3,1,2,2
4,4,4,5,1,0,0,0,1,2,3,1,3,6,3,1,45,12,70,5,5,3,2,3,4,1,1,4,Incorrect,Correct,0,1,1,0.4,0.7333333333333333,1,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
5,4,4,5,1,1,0,0,0,1,3,1,2,4,4,1,29,18,45,2,2,2,2,3,1,1,1,3,Incorrect,Incorrect,0,0,1,0.4,0.4,1,Disagree Strongly,Disagree,Agree,Agree Strongly,2012,5,4,5,4
2,3,2,4,1,0,0,1,0,1,3,1,2,4,2,1,20,20,40,4,3,4,3,2,3,1,1,1,Correct,Incorrect,0,0,1,0.4,0.6333333333333333,1,Agree,Neither,Disagree,Agree,2012,2,2,4,3
5,4,5,5,1,0,0,0,1,1,4,1,3,5,3,1,58,12,50,5,4,3,4,5,5,1,1,4,Incorrect,Correct,0,0,0,0.4,0.8666666666666667,1,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,2012,5,5,5,4
3,2,3,3,1,1,1,1,1,1,2,2,1,2,3,1,31,7,70,4,4,4,4,3,4,0,0,1,Correct,Correct,1,0,0,1,0.7666666666666667,0,Neither,Agree,Neither,Neither,2012,3,3,3,2
5,5,4,5,1,1,0,1,1,1,1,1,2,5,5,1,74,24,50,5,1,2,2,2,4,1,1,5,Correct,Correct,0,0,0,0.8,0.5333333333333333,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
4,3,4,3,1,0,1,1,0,1,3,1,3,2,2,1,54,9,50,5,3,5,3,5,4,0,1,3,Correct,Incorrect,0,0,1,0.6,0.8333333333333334,0.5,Disagree,Neither,Agree,Neither,2012,4,4,3,3
2,2,4,4,1,1,1,1,1,2,3,1,1,3,2,1,79,22,85,5,4,2,2,4,4,0,1,2,Correct,Correct,1,1,1,1,0.7,0.5,Agree,Agree,Agree,Agree,2012,2,4,4,2
3,2,2,4,1,1,1,1,1,1,2,1,3,3,4,1,38,16,80,4,3,4,3,5,4,0,0,2,Correct,Correct,0,0,0,1,0.7666666666666667,0,Neither,Agree,Disagree,Agree,2012,3,2,4,2
4,3,4,5,1,1,1,1,1,1,1,2,2,6,2,1,57,21,30,4,2,3,3,3,4,1,1,4,Correct,Correct,0,0,0,1,0.6333333333333333,1,Disagree,Neither,Agree,Agree Strongly,2012,4,4,5,3
5,5,5,5,0,0,0,1,0,2,2,2,3,4,2,1,31,2,70,5,4,4,4,4,4,1,0,2,Correct,Incorrect,0,1,0,0.2,0.8333333333333334,0.5,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
5,5,4,5,1,1,1,0,1,2,3,2,1,5,3,1,67,19,80,5,2,4,1,3,4,0,0,4,Incorrect,Correct,1,1,1,0.8,0.6333333333333333,0,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
5,5,5,5,1,0,0,1,1,1,3,2,2,6,1,1,61,18,60,3,2,3,3,3,3,0,1,5,Correct,Correct,0,0,1,0.6,0.5666666666666667,0.5,Disagree Strongly,Disagree Strongly,Agree Strongly,Agree Strongly,2012,5,5,5,5
4,3,3,4,1,1,0,1,0,1,4,2,2,4,3,1,54,7,85,4,3,4,4,4,4,0,0,2,Correct,Incorrect,0,0,0,0.6,0.7666666666666667,0,Disagree,Neither,Neither,Agree,2012,4,3,4,3
4,3,3,4,1,0,0,1,1,2,3,1,3,5,5,1,66,19,40,5,2,3,2,4,3,1,1,2,Correct,Correct,0,1,1,0.6,0.6333333333333333,1,Disagree,Neither,Neither,Agree,2012,4,3,4,3
3,2,2,2,1,1,0,0,1,1,2,1,1,2,3,1,49,16,85,4,4,4,4,4,5,0,0,5,Incorrect,Correct,1,0,0,0.6,0.8333333333333334,0,Neither,Agree,Disagree,Disagree,2012,3,2,2,2
5,5,4,5,1,0,0,1,1,1,4,1,2,6,3,1,37,20,30,3,1,1,2,3,2,1,1,5,Correct,Correct,0,0,0,0.6,0.4,1,Disagree Strongly,Disagree Strongly,Agree,Agree Strongly,2012,5,4,5,5
5,4,5,5,1,1,1,1,1,1,3,1,1,4,2,1,75,17,50,4,2,1,2,3,4,1,0,4,Correct,Correct,1,0,1,1,0.5333333333333333,0.5,Disagree Strongly,Disagree,Agree Strongly,Agree Strongly,2012,5,5,5,4
4,4,3,5,1,0,1,1,0,2,4,1,2,5,3,1,68,15,70,4,3,2,2,3,4,0,0,2,Correct,Incorrect,0,1,0,0.6,0.6,0,Disagree,Disagree,Neither,Agree Strongly,2012,4,3,5,4
4,4,4,4,1,1,1,1,1,1,3,1,2,6,5,1,85,14,70,2,2,2,2,2,2,1,1,5,Correct,Correct,0,0,1,1,0.4,1,Disagree,Disagree,Agree,Agree,2012,4,4,4,4
4,4,4,5,1,0,0,1,1,2,3,1,2,5,5,1,44,12,50,2,4,2,2,2,1,1,1,5,Correct,Correct,0,1,1,0.6,0.43333333333333335,1,Disagree,Disagree,Agree,Agree Strongly,2012,4,4,5,4
2,4,4,5,1,0,1,1,1,1,1,1,2,6,5,1,81,12,40,2,2,1,1,2,2,1,1,5,Correct,Correct,0,0,0,0.8,0.3333333333333333,1,Agree,Disagree,Agree,Agree Strongly,2012,2,4,5,4
